Model-Year,Make,Model,Vehicle-Class,Engine-Size,Cylinders,Transmission,Fuel-Type,Fuel-Consumption-City,Fuel-Consumption-Hwy,Fuel-Consumption-Comb,CO2-Emissions
2019,Acura,ILX,Compact,2.4,4,AM8,Z,9.9,7,8.6,199
2019,Acura,MDX SH-AWD,SUV: Small,3.5,6,AS9,Z,12.2,9,10.8,252
2019,Acura,MDX SH-AWD A-SPEC,SUV: Small,3.5,6,AS9,Z,12.2,9.5,11,258
2019,Acura,MDX Hybrid AWD,SUV: Small,3,6,AM7,Z,9.1,9,9,210
2019,Acura,NSX,Two-seater,3.5,6,AM9,Z,11.1,10.8,11,261
2019,Acura,RDX AWD,SUV: Small,2,4,AS10,Z,11,8.6,9.9,232
2019,Acura,RDX AWD A-SPEC,SUV: Small,2,4,AS10,Z,11.3,9.1,10.3,242
2019,Acura,RLX Hybrid,Mid-size,3.5,6,AM7,Z,8.4,8.2,8.4,196
2019,Acura,TLX,Compact,2.4,4,AM8,Z,10,7.1,8.7,205
2019,Acura,TLX A-SPEC,Compact,2.4,4,AM8,Z,10.2,7.4,8.9,209
2019,Acura,TLX SH-AWD,Compact,3.5,6,AS9,Z,11.4,7.7,9.8,228
2019,Acura,TLX SH-AWD A-SPEC,Compact,3.5,6,AS9,Z,12,8.2,10.3,240
2019,Alfa Romeo,4C Coupe,Two-seater,1.8,4,AM6,Z,9.7,6.9,8.4,197
2019,Alfa Romeo,4C Spider,Two-seater,1.8,4,AM6,Z,9.7,6.9,8.4,197
2019,Alfa Romeo,Giulia,Mid-size,2,4,A8,Z,10,7.2,8.7,205
2019,Alfa Romeo,Giulia AWD,Mid-size,2,4,A8,Z,10.5,7.7,9.2,217
2019,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6,A8,Z,13.8,9.6,11.9,280
2019,Alfa Romeo,Stelvio,SUV: Small,2,4,A8,Z,10.3,8.1,9.3,218
2019,Alfa Romeo,Stelvio AWD,SUV: Small,2,4,A8,Z,10.8,8.3,9.6,226
2019,Alfa Romeo,Stelvio AWD Quadrifoglio,SUV: Small,2.9,6,A8,Z,14.1,10.4,12.4,292
2019,Aston Martin,DB11 V8,Minicompact,4,8,A8,Z,13,9.8,11.5,271
2019,Aston Martin,DB11 AMR,Minicompact,5.2,12,A8,Z,15.5,10.6,13.3,312
2019,Aston Martin,DBS Superleggera,Minicompact,5.2,12,A8,Z,16.4,10.7,13.8,324
2019,Aston Martin,Rapide AMR,Subcompact,6,12,A8,Z,16.7,10.9,14.1,332
2019,Aston Martin,Vanquish Zagato,Minicompact,6,12,A8,Z,17.5,11.4,14.7,346
2019,Aston Martin,Vantage V8,Two-seater,4,8,A8,Z,12.7,9.4,11.2,264
2019,Audi,A3,Subcompact,2,4,AM7,X,9.1,6.8,8.1,188
2019,Audi,A3 quattro,Subcompact,2,4,AM7,X,10.9,7.9,9.6,225
2019,Audi,A3 Cabriolet quattro,Subcompact,2,4,AM7,X,10.7,7.9,9.5,221
2019,Audi,A4,Compact,2,4,AM7,Z,8.6,6.9,7.8,182
2019,Audi,A4 quattro,Compact,2,4,AM7,Z,10,7,8.7,204
2019,Audi,A4 allroad quattro,Station wagon: Small,2,4,AM7,Z,10.7,8,9.5,221
2019,Audi,A5 quattro,Subcompact,2,4,AM7,Z,10,7,8.7,204
2019,Audi,A5 Cabriolet quattro,Subcompact,2,4,AM7,Z,10,7,8.7,204
2019,Audi,A5 Sportback quattro,Mid-size,2,4,AM7,Z,10,7,8.7,204
2019,Audi,A6 quattro,Mid-size,3,6,AM7,Z,10.7,8.2,9.6,224
2019,Audi,A7 quattro,Mid-size,3,6,AM7,Z,10.7,8.2,9.6,224
2019,Audi,A8L,Full-size,3,6,AS8,Z,12.5,8.6,10.8,202
2019,Audi,Q3 quattro,SUV: Small,2,4,AS8,X,12.3,8.6,10.6,248
2019,Audi,Q5,SUV: Small,2,4,AM7,Z,10.9,8.7,9.9,230
2019,Audi,Q7,SUV: Standard,2,4,AS8,Z,12.2,9.5,11,258
2019,Audi,Q7,SUV: Standard,3,6,AS8,Z,12.6,9.4,11.1,260
2019,Audi,Q8,SUV: Standard,3,6,AS8,Z,14,10.7,12.5,294
2019,Audi,RS 3,Subcompact,2.5,5,AM7,Z,12.4,8.4,10.6,247
2019,Audi,RS 5 Coupe,Subcompact,2.9,6,AS8,Z,13.3,8.7,11.3,262
2019,Audi,RS 5 Sportback,Subcompact,2.9,6,AS8,Z,13.5,9,11.5,268
2019,Audi,S3,Subcompact,2,4,AM7,Z,10.7,8,9.5,222
2019,Audi,S4,Compact,3,6,AS8,Z,11.3,8,9.8,230
2019,Audi,S5,Subcompact,3,6,AS8,Z,11.3,8,9.8,230
2019,Audi,S5 Cabriolet,Subcompact,3,6,AS8,Z,11.4,8.2,9.9,234
2019,Audi,S5 Sportback,Mid-size,3,6,AS8,Z,11.3,8,9.8,230
2019,Audi,SQ5,SUV: Small,3,6,AS8,Z,12.7,10,11.5,270
2019,Audi,TT Coupe quattro,Subcompact,2,4,AM7,X,10.3,7.7,9.2,213
2019,Audi,TT Roadster quattro,Two-seater,2,4,AM7,X,10.3,7.7,9.2,213
2019,Audi,TT RS Coupe,Subcompact,2.5,5,AM7,Z,12,8.3,10.3,241
2019,Audi,TTS Coupe,Subcompact,2,4,AM7,Z,10.4,8.2,9.4,220
2019,Bentley,Bentayga,SUV: Standard,4,8,AS8,Z,16.4,10.1,13.6,315
2019,Bentley,Mulsanne,Mid-size,6.8,8,AS8,Z,24.5,14.4,20,465
2019,BMW,230i xDrive Cabriolet,Subcompact,2,4,AS8,Z,10.2,7.2,8.8,207
2019,BMW,230i xDrive Coupe,Subcompact,2,4,AS8,Z,9.9,7.1,8.6,202
2019,BMW,330i xDrive,Compact,2,4,AS8,Z,9.5,6.9,8.3,194
2019,BMW,330i xDrive Gran Turismo,Full-size,2,4,AS8,Z,10.2,7.2,8.8,207
2019,BMW,330i xDrive Touring,Station wagon: Small,2,4,AS8,Z,10.2,7.2,8.8,207
2019,BMW,430i xDrive Cabriolet,Subcompact,2,4,AS8,Z,10.6,7.3,9.1,213
2019,BMW,430i xDrive Coupe,Compact,2,4,AS8,Z,10.2,7.2,8.8,207
2019,BMW,430i xDrive Gran Coupe,Compact,2,4,AS8,Z,10.2,7.2,8.8,207
2019,BMW,440i Coupe,Compact,3,6,AS8,Z,11.2,7.3,9.4,227
2019,BMW,440i Coupe,Compact,3,6,M6,Z,12.8,8.8,11,256
2019,BMW,440i xDrive Cabriolet,Subcompact,3,6,AS8,Z,11.8,7.9,10,235
2019,BMW,440i xDrive Coupe,Compact,3,6,AS8,Z,11.4,7.6,9.7,228
2019,BMW,440i xDrive Coupe,Compact,3,6,M6,Z,13,8.5,11,256
2019,BMW,440i xDrive Gran Coupe,Compact,3,6,AS8,Z,11.4,7.6,9.7,228
2019,BMW,530i xDrive,Mid-size,2,4,AS8,Z,10.2,7.2,8.8,207
2019,BMW,540i xDrive,Mid-size,3,6,AS8,Z,11.2,8.1,9.8,231
2019,BMW,640i xDrive Gran Coupe,Compact,3,6,AS8,Z,12.3,8.4,10.5,248
2019,BMW,640i xDrive Gran Turismo,Full-size,3,6,AS8,Z,11.9,8.4,10.3,241
2019,BMW,650i xDrive Gran Coupe,Compact,4.4,8,AS8,Z,14,9.6,12,282
2019,BMW,750i xDrive,Full-size,4.4,8,AS8,Z,13.3,9.2,11.5,269
2019,BMW,750Li xDrive,Full-size,4.4,8,AS8,Z,14,9.6,12,282
2019,BMW,Alpina B6 xDrive Gran Coupe,Compact,4.4,8,AS8,Z,14,9.6,12,282
2019,BMW,Alpina B7 xDrive,Full-size,4.4,8,AS8,Z,14,9.6,12,282
2019,BMW,M2 Competition,Subcompact,3,6,AM7,Z,14.3,10.4,12.6,294
2019,BMW,M2 Competition,Subcompact,3,6,M6,Z,13.4,9.6,11.7,273
2019,BMW,M240i Cabriolet,Subcompact,3,6,AS8,Z,11.2,7.8,9.7,227
2019,BMW,M240i Cabriolet,Subcompact,3,6,M6,Z,12.8,8.8,11,256
2019,BMW,M240i Coupe,Subcompact,3,6,AS8,Z,11.2,7.8,9.7,227
2019,BMW,M240i Coupe,Subcompact,3,6,M6,Z,12.8,8.8,11,256
2019,BMW,M240i Coupe M Performance,Subcompact,3,6,AS8,Z,11.2,7.8,9.7,227
2019,BMW,M240i Coupe M Performance,Subcompact,3,6,M6,Z,12.8,8.8,11,256
2019,BMW,M240i xDrive Cabriolet,Subcompact,3,6,AS8,Z,11.3,8,9.8,229
2019,BMW,M240i xDrive Coupe,Subcompact,3,6,AS8,Z,11.3,8,9.8,229
2019,BMW,M240i xDrive Coupe M Performance,Subcompact,3,6,AS8,Z,11.3,8,9.8,229
2019,BMW,M4 Cabriolet,Subcompact,3,6,AM7,Z,14.5,10.5,12.7,299
2019,BMW,M4 Cabriolet,Subcompact,3,6,M6,Z,13.8,9.4,11.9,280
2019,BMW,M4 Cabriolet Competition,Subcompact,3,6,AM7,Z,14.5,10.5,12.7,299
2019,BMW,M4 Cabriolet Competition,Subcompact,3,6,M6,Z,13.8,9.4,11.9,280
2019,BMW,M4 Coupe,Compact,3,6,AM7,Z,14.3,10.4,12.6,294
2019,BMW,M4 Coupe,Compact,3,6,M6,Z,13.4,9.6,11.7,273
2019,BMW,M4 Coupe Competition,Compact,3,6,AM7,Z,14.3,10.4,12.6,294
2019,BMW,M4 Coupe Competition,Compact,3,6,M6,Z,13.4,9.6,11.7,273
2019,BMW,M4 CS,Compact,3,6,AM7,Z,14.3,10.4,12.6,294
2019,BMW,M5,Mid-size,4.4,8,AS8,Z,16,11.2,13.9,324
2019,BMW,M5 Competition,Mid-size,4.4,8,AS8,Z,16,11.2,13.9,324
2019,BMW,M550i xDrive,Mid-size,4.4,8,AS8,Z,13.3,9.2,11.5,269
2019,BMW,M6 Gran Coupe,Compact,4.4,8,AM7,Z,17.3,11.6,14.7,344
2019,BMW,M760Li xDrive,Full-size,6.6,12,AS8,Z,17.7,11.9,15.1,355
2019,BMW,M850i xDrive Cabriolet,Subcompact,4.4,8,AS8,Z,13.5,9.2,11.6,270
2019,BMW,M850i xDrive Coupe,Subcompact,4.4,8,AS8,Z,13.3,9.2,11.5,269
2019,BMW,X1 xDrive28i,SUV: Small,2,4,AS8,Z,10.7,7.5,9.3,217
2019,BMW,X2 xDrive28i,SUV: Small,2,4,AS8,Z,11,7.7,9.5,222
2019,BMW,X3 xDrive30i,SUV: Small,2,4,AS8,Z,10.8,8,9.6,223
2019,BMW,X3 M40i,SUV: Small,3,6,AS8,Z,11.9,8.7,10.4,245
2019,BMW,X4 xDrive30i,SUV: Small,2,4,AS8,Z,10.8,8,9.6,223
2019,BMW,X4 M40i,SUV: Small,3,6,AS8,Z,11.9,8.7,10.4,245
2019,BMW,X5 xDrive40i,SUV: Standard,3,6,AS8,Z,11.7,9.1,10.5,245
2019,BMW,X5 xDrive50i,SUV: Standard,4.4,8,AS8,Z,15.3,11.1,13.4,314
2019,BMW,X6 xDrive35i,SUV: Standard,3,6,AS8,Z,13,9.9,11.6,272
2019,BMW,X6 xDrive50i,SUV: Standard,4.4,8,AS8,Z,14.3,10.6,12.6,294
2019,BMW,X6 M,SUV: Standard,4.4,8,AS8,Z,16.6,12.1,14.6,341
2019,BMW,X7 xDrive40i,SUV: Standard,3,6,AS8,Z,12,9.4,10.8,254
2019,BMW,X7 xDrive50i,SUV: Standard,4.4,8,AS8,Z,14.3,10.6,12.6,294
2019,Bugatti,Chiron,Two-seater,8,16,AM7,Z,26.8,16.6,22.2,522
2019,Buick,Enclave,SUV: Standard,3.6,6,A9,X,13,9.1,11.2,263
2019,Buick,Enclave AWD,SUV: Standard,3.6,6,A9,X,13.8,9.5,11.9,278
2019,Buick,Encore,SUV: Small,1.4,4,AS6,X,9.4,7.8,8.7,204
2019,Buick,Encore (SIDI with Stop/Start),SUV: Small,1.4,4,AS6,X,8.9,7.5,8.3,194
2019,Buick,Encore AWD,SUV: Small,1.4,4,AS6,X,9.9,8.1,9.1,214
2019,Buick,Encore AWD (SIDI with Stop/Start),SUV: Small,1.4,4,AS6,X,9.4,7.9,8.8,205
2019,Buick,Envision AWD,SUV: Small,2,4,A9,Z,11.7,9.4,10.7,249
2019,Buick,Envision AWD,SUV: Small,2.5,4,A6,X,11.1,8.6,10,234
2019,Buick,LaCrosse,Mid-size,3.6,6,AS9,X,11.7,7.8,9.9,233
2019,Buick,LaCrosse eAssist,Mid-size,2.5,4,AS6,X,9.4,6.8,8.2,192
2019,Buick,LaCrosse AWD,Mid-size,3.6,6,AS9,X,11.7,8.2,10.1,238
2019,Buick,Regal,Mid-size,2,4,AS9,Z,10.6,7.4,9.1,214
2019,Buick,Regal AWD,Mid-size,2,4,AS8,Z,11,8,9.6,227
2019,Buick,Regal AWD,Mid-size,3.6,6,AS9,X,12.4,8.7,10.7,251
2019,Cadillac,CT6 AWD,Full-size,3,6,AS10,Z,13.1,9.1,11.3,267
2019,Cadillac,CT6 AWD,Full-size,3.6,6,AS10,X,13,8.8,11.1,261
2019,Cadillac,CT6 AWD,Full-size,4.2,8,AS10,Z,17.3,9.5,13.8,324
2019,Cadillac,CTS,Mid-size,2,4,AS8,Z,11,7.8,9.5,222
2019,Cadillac,CTS,Mid-size,3.6,6,AS8,X,12.3,8.2,10.5,246
2019,Cadillac,CTS AWD,Mid-size,2,4,AS8,Z,11.4,8.1,9.9,232
2019,Cadillac,CTS AWD,Mid-size,3.6,6,AS8,X,13.3,9.2,11.5,269
2019,Cadillac,CTS Vsport,Mid-size,3.6,6,AS8,Z,15,9.9,12.7,298
2019,Cadillac,CTS-V,Mid-size,6.2,8,AS8,Z,17.1,11,14.3,337
2019,Cadillac,Escalade 4WD,SUV: Standard,6.2,8,A10,Z,16.6,10.9,14,328
2019,Cadillac,XT4,SUV: Small,2,4,AS9,Z,9.8,7.8,8.9,209
2019,Cadillac,XT4 AWD,SUV: Small,2,4,AS9,Z,10.9,8.2,9.7,227
2019,Cadillac,XT5,SUV: Small,3.6,6,AS8,X,12.1,8.9,10.6,250
2019,Cadillac,XT5 AWD,SUV: Small,3.6,6,AS8,X,12.8,9.3,11.2,263
2019,Cadillac,XTS,Full-size,3.6,6,AS6,X,12.9,8.7,11,259
2019,Cadillac,XTS AWD,Full-size,3.6,6,AS6,X,13.7,9,11.6,272
2019,Cadillac,XTS Vsport AWD,Full-size,3.6,6,AS6,Z,15,10.1,12.8,302
2019,Chevrolet,Blazer,SUV: Small,2.5,4,A9,X,10.8,8.8,9.9,232
2019,Chevrolet,Blazer,SUV: Small,3.6,6,A9,X,12,9,10.6,250
2019,Chevrolet,Blazer AWD,SUV: Small,3.6,6,A9,X,12.7,9.5,11.3,265
2019,Chevrolet,Camaro,Subcompact,2,4,AS8,Z,10.8,7.7,9.4,220
2019,Chevrolet,Camaro,Subcompact,2,4,M6,Z,11.9,7.9,10.1,235
2019,Chevrolet,Camaro,Subcompact,3.6,6,AS8,X,12.3,8.2,10.4,246
2019,Chevrolet,Camaro,Subcompact,3.6,6,M6,X,14.3,8.8,11.8,277
2019,Chevrolet,Camaro SS,Subcompact,6.2,8,AS10,Z,14.5,8.8,12,279
2019,Chevrolet,Camaro SS,Subcompact,6.2,8,M6,Z,14.9,9.9,12.6,297
2019,Chevrolet,Camaro ZL1,Subcompact,6.2,8,AS10,Z,18.3,11.2,15.1,355
2019,Chevrolet,Camaro ZL1,Subcompact,6.2,8,M6,Z,17.2,12,14.9,349
2019,Chevrolet,Colorado,Pickup truck: Small,2.5,4,A6,X,12.1,9.2,10.8,253
2019,Chevrolet,Colorado,Pickup truck: Small,2.5,4,M6,X,11.9,9.2,10.7,251
2019,Chevrolet,Colorado,Pickup truck: Small,2.8,4,A6,D,11.8,7.9,10.1,270
2019,Chevrolet,Colorado,Pickup truck: Small,3.6,6,A8,X,13.4,9.6,11.7,274
2019,Chevrolet,Colorado 4WD,Pickup truck: Small,2.5,4,A6,X,12.7,9.8,11.4,267
2019,Chevrolet,Colorado 4WD,Pickup truck: Small,2.8,4,A6,D,12.2,8.4,10.5,283
2019,Chevrolet,Colorado 4WD,Pickup truck: Small,3.6,6,A8,X,14,9.9,12.2,286
2019,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,2.8,4,A6,D,13.3,10.6,12.1,326
2019,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,3.6,6,A8,X,15,13,14.1,331
2019,Chevrolet,Corvette,Two-seater,6.2,8,AS8,Z,15.6,9.2,12.7,299
2019,Chevrolet,Corvette,Two-seater,6.2,8,M7,Z,14.6,9.3,12.2,286
2019,Chevrolet,Corvette Z06,Two-seater,6.2,8,AS8,Z,17.2,10.1,14,331
2019,Chevrolet,Corvette Z06,Two-seater,6.2,8,M7,Z,15.9,10.6,13.5,318
2019,Chevrolet,Corvette ZR1,Two-seater,6.2,8,AS8,Z,19.5,12,16.1,381
2019,Chevrolet,Corvette ZR1,Two-seater,6.2,8,M7,Z,18.2,12.5,15.6,368
2019,Chevrolet,Cruze,Compact,1.4,4,AS6,X,8.3,6.2,7.3,172
2019,Chevrolet,Cruze Premier,Compact,1.4,4,AS6,X,8.3,6.2,7.3,172
2019,Chevrolet,Cruze Diesel,Compact,1.6,4,A9,D,7.6,4.9,6.4,172
2019,Chevrolet,Cruze Hatchback,Mid-size,1.4,4,AS6,X,8.3,6.2,7.3,172
2019,Chevrolet,Cruze Hatchback Premier,Mid-size,1.4,4,AS6,X,8.5,6.4,7.5,175
2019,Chevrolet,Cruze Hatchback Diesel,Mid-size,1.6,4,A9,D,7.8,5.2,6.6,178
2019,Chevrolet,Equinox,SUV: Small,1.5,4,A6,X,9.2,7.3,8.3,196
2019,Chevrolet,Equinox,SUV: Small,1.6,4,A6,D,8.5,6,7.4,199
2019,Chevrolet,Equinox AWD,SUV: Small,1.5,4,A6,X,9.3,7.8,8.6,207
2019,Chevrolet,Equinox AWD,SUV: Small,1.6,4,A6,D,8.5,6.1,7.4,199
2019,Chevrolet,Equinox AWD,SUV: Small,2,4,A9,Z,10.9,8.3,9.7,228
2019,Chevrolet,Impala,Full-size,2.5,4,AS6,X,10.8,8,9.6,225
2019,Chevrolet,Impala,Full-size,3.6,6,AS6,X,12.7,8.5,10.8,254
2019,Chevrolet,Impala,Full-size,3.6,6,AS6,E,17.2,11.6,14.6,245
2019,Chevrolet,Malibu,Mid-size,1.5,4,AV,X,8.2,6.6,7.5,174
2019,Chevrolet,Malibu,Mid-size,2,4,A9,Z,10.5,7.4,9.1,214
2019,Chevrolet,Malibu Hybrid,Mid-size,1.8,4,AV,X,4.8,5.5,5.1,121
2019,Chevrolet,Silverado,Pickup truck: Standard,2.7,4,A8,X,11.9,10.3,11.1,261
2019,Chevrolet,Silverado,Pickup truck: Standard,4.3,6,A6,X,15.1,11.5,13.5,316
2019,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A6,X,15.9,11.4,13.9,326
2019,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,X,15.7,11.9,14,329
2019,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,E,21.1,15,18.4,306
2019,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A8,X,14.1,10.2,12.4,290
2019,Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4,A8,X,12.5,10.8,11.7,275
2019,Chevrolet,Silverado 4WD,Pickup truck: Standard,4.3,6,A6,X,15.8,11.9,14,329
2019,Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,4.3,6,A6,X,16.3,12.9,14.8,347
2019,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A6,X,15.9,11.7,14,329
2019,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,X,16.1,12.5,14.4,339
2019,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,E,22,16.1,19.3,322
2019,Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,5.3,8,A6,X,16.5,13,14.9,350
2019,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A8,X,14.9,10.8,13.1,306
2019,Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,5.3,8,A8,X,15.3,11.8,13.7,320
2019,Chevrolet,Silverado 4WD,Pickup truck: Standard,6.2,8,A10,Z,15,12,13.7,321
2019,Chevrolet,Silverado LD,Pickup truck: Standard,5.3,8,A6,X,15.6,10.9,13.5,317
2019,Chevrolet,Silverado LD 4WD,Pickup truck: Standard,5.3,8,A6,X,15.8,11.4,13.8,325
2019,Chevrolet,Spark,Subcompact,1.4,4,AV,X,7.9,6.2,7.1,167
2019,Chevrolet,Spark,Subcompact,1.4,4,M5,X,8,6.2,7.2,170
2019,Chevrolet,Suburban,SUV: Standard,5.3,8,A6,X,15.7,10.5,13.4,314
2019,Chevrolet,Suburban FFV,SUV: Standard,5.3,8,A6,X,15.7,10.5,13.4,314
2019,Chevrolet,Suburban FFV,SUV: Standard,5.3,8,A6,E,21.2,13.9,17.9,298
2019,Chevrolet,Suburban 4WD,SUV: Standard,5.3,8,A6,X,16.8,11.3,14.3,336
2019,Chevrolet,Suburban 4WD FFV,SUV: Standard,5.3,8,A6,X,16.8,11.3,14.3,336
2019,Chevrolet,Suburban 4WD FFV,SUV: Standard,5.3,8,A6,E,22.2,15.2,19,317
2019,Chevrolet,Suburban 4WD,SUV: Standard,6.2,8,A10,Z,17.1,11.3,14.5,340
2019,Chevrolet,Tahoe,SUV: Standard,5.3,8,A6,X,15.7,10.5,13.4,314
2019,Chevrolet,Tahoe FFV,SUV: Standard,5.3,8,A6,X,15.7,10.5,13.4,314
2019,Chevrolet,Tahoe FFV,SUV: Standard,5.3,8,A6,E,21.2,13.9,17.9,298
2019,Chevrolet,Tahoe 4WD,SUV: Standard,5.3,8,A6,X,15.8,11.1,13.7,321
2019,Chevrolet,Tahoe 4WD FFV,SUV: Standard,5.3,8,A6,X,15.8,11.1,13.7,321
2019,Chevrolet,Tahoe 4WD FFV,SUV: Standard,5.3,8,A6,E,21.7,14.3,18.4,305
2019,Chevrolet,Tahoe 4WD,SUV: Standard,6.2,8,A10,Z,16.4,10.7,13.8,325
2019,Chevrolet,Traverse,SUV: Standard,3.6,6,A9,X,13,8.8,11.1,261
2019,Chevrolet,Traverse AWD,SUV: Standard,3.6,6,A9,X,13.7,9.5,11.8,277
2019,Chevrolet,Trax,SUV: Small,1.4,4,AS6,X,9.1,7.6,8.4,196
2019,Chevrolet,Trax,SUV: Small,1.4,4,M6,X,9.4,6.9,8.3,194
2019,Chevrolet,Trax 4WD,SUV: Small,1.4,4,AS6,X,9.9,8.1,9.1,214
2019,Chrysler,300,Full-size,3.6,6,A8,X,12.4,7.8,10.3,242
2019,Chrysler,300 FFV,Full-size,3.6,6,A8,X,12.4,7.8,10.3,242
2019,Chrysler,300 FFV,Full-size,3.6,6,A8,E,17.1,10.6,14.2,234
2019,Chrysler,300,Full-size,5.7,8,A8,X,14.7,9.4,12.3,289
2019,Chrysler,300 AWD,Full-size,3.6,6,A8,X,12.8,8.7,11,258
2019,Chrysler,300 AWD FFV,Full-size,3.6,6,A8,X,12.8,8.7,11,258
2019,Chrysler,300 AWD FFV,Full-size,3.6,6,A8,E,17.6,12,15,248
2019,Chrysler,Pacifica,Minivan,3.6,6,A9,X,12.9,8.4,10.9,259
2019,Chrysler,Pacifica (Stop-Start),Minivan,3.6,6,A9,X,12.4,8.4,10.6,249
2019,Dodge,Challenger,Mid-size,3.6,6,A8,X,12.4,7.8,10.3,242
2019,Dodge,Challenger,Mid-size,5.7,8,M6,Z,15.6,10.1,13.1,307
2019,Dodge,Challenger,Mid-size,6.4,8,M6,Z,16.7,10.4,13.9,325
2019,Dodge,Challenger (MDS),Mid-size,5.7,8,A8,X,14.7,9.4,12.3,289
2019,Dodge,Challenger (MDS),Mid-size,6.4,8,A8,Z,15.8,9.6,13,304
2019,Dodge,Challenger GT AWD,Mid-size,3.6,6,A8,X,12.8,8.7,11,258
2019,Dodge,Challenger SRT Hellcat,Mid-size,6.2,8,A8,Z,17.6,10.7,14.5,339
2019,Dodge,Challenger SRT Hellcat,Mid-size,6.2,8,M6,Z,18.1,11.4,15.1,352
2019,Dodge,Challenger SRT Hellcat Redeye,Mid-size,6.2,8,A8,Z,17.6,10.7,14.5,339
2019,Dodge,Charger,Full-size,3.6,6,A5,X,13.7,9,11.6,271
2019,Dodge,Charger FFV,Full-size,3.6,6,A5,X,13.7,9,11.6,271
2019,Dodge,Charger FFV,Full-size,3.6,6,A5,E,18.9,12.7,16.1,268
2019,Dodge,Charger,Full-size,3.6,6,A8,X,12.4,7.8,10.3,242
2019,Dodge,Charger FFV,Full-size,3.6,6,A8,X,12.4,7.8,10.3,242
2019,Dodge,Charger FFV,Full-size,3.6,6,A8,E,17.1,10.6,14.2,234
2019,Dodge,Charger (MDS),Full-size,5.7,8,A5,X,15.6,9.7,12.9,302
2019,Dodge,Charger (MDS),Full-size,5.7,8,A8,X,14.7,9.4,12.3,289
2019,Dodge,Charger (MDS),Full-size,6.4,8,A8,Z,15.8,9.6,13,304
2019,Dodge,Charger AWD,Full-size,3.6,6,A8,X,12.8,8.7,11,258
2019,Dodge,Charger AWD FFV,Full-size,3.6,6,A8,X,12.8,8.7,11,258
2019,Dodge,Charger AWD FFV,Full-size,3.6,6,A8,E,17.6,12,15,248
2019,Dodge,Charger AWD (MDS),Full-size,5.7,8,A5,X,16,10.1,13.3,312
2019,Dodge,Charger SRT Hellcat,Full-size,6.2,8,A8,Z,17.6,10.7,14.5,339
